date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:53	32728/32728	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:54%20GMT	https://demo.egenslab.com/html/creasoft/preview/index.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/index.html	(from )
15:19:53	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2014:19:51%20GMT	https://demo.egenslab.com/robots.txt		(from )
15:19:54	163879/163879	---MCZ	200	added ('OK')	text/css	etag:W/%226281f275-28027%22	https://demo.egenslab.com/html/creasoft/preview/assets/css/bootstrap.min.css	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/css/bootstrap.min.css	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:54	70346/70346	---MCZ	200	added ('OK')	text/css	etag:W/%226281f275-14e7c%22	https://demo.egenslab.com/html/creasoft/preview/assets/css/bootstrap-icons.css	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/css/bootstrap-icons.css	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:54	59309/59309	---MCZ	200	added ('OK')	text/css	etag:W/%226281f274-e7ad%22	https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:54	57877/57877	---MCZ	200	added ('OK')	text/css	etag:W/%226281f276-e215%22	https://demo.egenslab.com/html/creasoft/preview/assets/css/fontawesome.min.css	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/css/fontawesome.min.css	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:55	15575/15575	---MCZ	200	added ('OK')	text/css	etag:W/%226281f278-3cd7%22	https://demo.egenslab.com/html/creasoft/preview/assets/css/swiper-bundle.min.css	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/css/swiper-bundle.min.css	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:55	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%226281f276-1c86%22	https://demo.egenslab.com/html/creasoft/preview/assets/css/magnific-popup.css	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/css/magnific-popup.css	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:55	60582/60582	---MCZ	200	added ('OK')	text/css	etag:W/%226281f274-eca6%22	https://demo.egenslab.com/html/creasoft/preview/assets/css/animate.min.css	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/css/animate.min.css	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:55	89238/89238	---MCZ	200	added ('OK')	text/css	etag:W/%226281f277-1d592%22	https://demo.egenslab.com/html/creasoft/preview/assets/css/style.css	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/css/style.css	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
